Device: USB-2408-2AO
Serial Number: 1C3CD1D
Channel Count: 2
Sample Count: 313
Start Time: 4/26/2023 4:20:39 PM
Scan Rate: 0.200000002980232
Sample,Time (s),CH0 (°C),CH1 (°C)
0,0,22.861,22.997
1,4,23.157,22.946
2,9,23.005,22.866
3,14,22.982,22.855
4,19,22.915,22.818
5,24,22.947,22.777
6,29,22.896,22.765
7,34,23.018,22.710
8,39,23.145,22.624
9,44,23.487,22.578
10,49,25.951,22.642
11,54,26.800,22.755
12,59,53.446,22.832
13,64,56.050,22.799
14,69,56.688,22.746
15,74,56.562,22.683
16,79,56.317,22.660
17,84,55.909,22.583
18,89,55.639,22.597
19,94,55.359,22.615
20,99,55.062,22.629
21,104,54.763,22.655
22,109,54.464,22.639
23,114,54.143,22.628
24,119,53.826,22.632
25,124,53.520,22.604
26,129,53.214,22.615
27,134,52.910,22.629
28,139,52.615,22.642
29,144,52.339,22.645
30,149,51.985,22.590
31,154,51.705,22.580
32,159,51.443,22.574
33,164,51.166,22.544
34,169,50.899,22.512
35,174,50.634,22.477
36,179,50.381,22.477
37,184,50.114,22.507
38,189,49.856,22.510
39,194,49.598,22.478
40,199,49.325,22.461
41,204,49.078,22.491
42,209,48.819,22.456
43,214,48.565,22.460
44,219,48.343,22.470
45,224,48.106,22.473
46,229,47.842,22.461
47,234,47.627,22.511
48,239,47.391,22.531
49,244,47.163,22.549
50,249,46.951,22.566
51,254,46.700,22.549
52,259,46.474,22.574
53,264,46.246,22.610
54,269,46.042,22.645
55,274,45.769,22.586
56,279,45.559,22.601
57,284,45.373,22.647
58,289,45.201,22.696
59,294,44.983,22.656
60,299,44.793,22.710
61,304,44.599,22.725
62,309,44.443,22.742
63,314,44.253,22.761
64,319,44.045,22.779
65,324,43.775,22.711
66,329,43.580,22.721
67,334,43.358,22.678
68,339,43.163,22.707
69,344,42.985,22.709
70,349,42.797,22.723
71,354,42.624,22.747
72,359,42.419,22.765
73,364,42.240,22.759
74,369,42.010,22.723
75,374,41.817,22.736
76,379,41.665,22.762
77,384,41.499,22.777
78,389,41.333,22.778
79,394,41.180,22.808
80,399,41.021,22.856
81,404,40.880,22.907
82,409,40.644,22.889
83,414,40.503,22.946
84,419,40.286,22.904
85,424,40.133,22.949
86,429,39.973,22.981
87,434,39.799,23.016
88,439,39.624,23.042
89,444,39.441,23.028
90,449,39.273,23.051
91,454,39.140,23.091
92,459,38.984,23.126
93,464,38.768,23.087
94,469,38.627,23.119
95,474,38.494,23.141
96,479,38.361,23.134
97,484,38.222,23.161
98,489,38.091,23.173
99,494,37.964,23.189
100,499,37.837,23.210
101,504,37.698,23.232
102,509,37.505,23.196
103,514,37.381,23.212
104,519,37.254,23.240
105,524,37.143,23.250
106,529,37.010,23.284
107,534,36.837,23.233
108,539,36.702,23.252
109,544,36.583,23.250
110,549,36.498,23.288
111,554,36.365,23.299
112,559,36.182,23.265
113,564,36.068,23.280
114,569,35.959,23.287
115,574,35.840,23.288
116,579,35.724,23.286
117,584,35.598,23.287
118,589,35.475,23.311
119,594,35.318,23.248
120,599,35.210,23.268
121,604,35.102,23.276
122,609,35.003,23.299
123,614,34.886,23.316
124,619,34.758,23.341
125,624,34.669,23.405
126,629,34.550,23.443
127,634,34.448,23.481
128,639,34.346,23.521
129,644,34.242,23.549
130,649,34.137,23.573
131,654,34.024,23.599
132,659,33.919,23.632
133,664,33.832,23.642
134,669,33.745,23.674
135,674,33.639,23.685
136,679,33.557,23.705
137,684,33.445,23.708
138,689,33.356,23.737
139,694,33.267,23.763
140,699,33.166,23.773
141,704,33.088,23.784
142,709,32.988,23.789
143,714,32.914,23.808
144,719,32.814,23.832
145,724,32.701,23.833
146,729,32.621,23.838
147,734,32.541,23.864
148,739,32.446,23.860
149,744,32.380,23.878
150,749,32.281,23.858
151,754,32.191,23.873
152,759,32.087,23.855
153,764,31.970,23.868
154,769,31.866,23.858
155,774,31.798,23.855
156,779,31.727,23.874
157,784,31.672,23.890
158,789,31.607,23.887
159,794,31.542,23.886
160,799,31.465,23.885
161,804,31.333,23.797
