Device: USB-2408-2AO
Serial Number: 1C3CD1D
Channel Count: 2
Sample Count: 403
Start Time: 4/26/2023 4:48:56 PM
Scan Rate: 0.200000002980232
Sample,Time (s),CH0 (°C),CH1 (°C)
0,0,23.686,23.911
1,4,23.729,23.780
2,9,23.780,23.880
3,14,53.301,23.840
4,19,61.012,23.838
5,24,61.672,23.828
6,29,61.509,23.830
7,34,61.251,23.813
8,39,60.969,23.810
9,44,60.732,23.781
10,49,60.434,23.863
11,54,60.152,23.890
12,59,59.868,23.823
13,64,59.586,23.827
14,69,59.311,23.799
15,74,59.047,23.791
16,79,58.756,23.756
17,84,58.503,23.733
18,89,58.238,23.715
19,94,57.975,23.704
20,99,57.784,23.755
21,104,57.508,23.735
22,109,57.229,23.734
23,114,56.969,23.716
24,119,56.708,23.715
25,124,56.454,23.698
26,129,56.276,23.760
27,134,56.012,23.738
28,139,55.756,23.722
29,144,55.511,23.707
30,149,55.264,23.694
31,154,55.032,23.700
32,159,54.783,23.696
33,164,54.558,23.691
34,169,54.326,23.690
35,174,54.094,23.680
36,179,53.916,23.728
37,184,53.684,23.718
38,189,53.464,23.711
39,194,53.215,23.697
40,199,52.992,23.690
41,204,52.769,23.690
42,209,52.546,23.688
43,214,52.309,23.686
44,219,52.099,23.685
45,224,51.866,23.675
46,229,51.658,23.683
47,234,51.427,23.684
48,239,51.204,23.675
49,244,50.974,23.669
50,249,50.764,23.678
51,254,50.556,23.669
52,259,50.349,23.657
53,264,50.137,23.664
54,269,49.924,23.642
55,274,49.711,23.635
56,279,49.500,23.615
57,284,49.285,23.620
58,289,49.096,23.612
59,294,48.891,23.606
60,299,48.682,23.588
61,304,48.475,23.594
62,309,48.271,23.581
63,314,48.079,23.563
64,319,47.951,23.618
65,324,47.756,23.610
66,329,47.572,23.616
67,334,47.381,23.602
68,339,47.184,23.611
69,344,46.999,23.606
70,349,46.822,23.611
71,354,46.628,23.609
72,359,46.451,23.614
73,364,46.261,23.618
74,369,46.077,23.618
75,374,45.892,23.625
76,379,45.725,23.622
77,384,45.500,23.594
78,389,45.338,23.596
79,394,45.232,23.665
80,399,45.076,23.673
81,404,44.852,23.619
82,409,44.700,23.634
83,414,44.601,23.702
84,419,44.434,23.691
85,424,44.276,23.702
86,429,44.104,23.693
87,434,43.936,23.688
88,439,43.785,23.692
89,444,43.625,23.688
90,449,43.466,23.695
91,454,43.254,23.627
92,459,43.102,23.637
93,464,43.006,23.697
94,469,42.869,23.697
95,474,42.703,23.690
96,479,42.558,23.701
97,484,42.354,23.644
98,489,42.235,23.647
99,494,42.080,23.637
100,499,41.950,23.652
101,504,41.800,23.646
102,509,41.665,23.657
103,514,41.521,23.656
104,519,41.374,23.654
105,524,41.230,23.654
106,529,41.101,23.666
107,534,40.971,23.678
108,539,40.835,23.672
109,544,40.703,23.680
110,549,40.551,23.665
111,554,40.466,23.723
112,559,40.336,23.726
