Device: USB-2408-2AO
Serial Number: 1C3CD26
Channel Count: 2
Sample Count: 671
Start Time: 4/26/2023 4:26:34 PM
Scan Rate: 0.200000002980232
Sample,Time (s),CH0 (°C),CH1 (°C)
0,0,63.358,24.175
1,4,63.456,24.164
2,9,63.423,24.245
3,14,63.197,24.200
4,19,62.956,24.134
5,24,62.798,24.147
6,29,62.656,24.140
7,34,62.474,24.150
8,39,62.342,24.131
9,44,62.221,24.154
10,49,62.083,24.182
11,54,61.948,24.185
12,59,61.829,24.203
13,64,61.669,24.203
14,69,61.557,24.218
15,74,61.419,24.206
16,79,61.271,24.206
17,84,61.136,24.189
18,89,60.998,24.221
19,94,60.868,24.214
20,99,60.742,24.220
21,104,60.494,24.192
22,109,60.501,24.228
23,114,60.333,24.212
24,119,60.198,24.211
25,124,60.057,24.219
26,129,59.943,24.231
27,134,59.775,24.214
28,139,59.665,24.223
29,144,59.540,24.244
30,149,59.402,24.247
31,154,59.207,24.211
32,159,59.151,24.242
33,164,59.043,24.240
34,169,58.942,24.275
35,174,58.815,24.279
36,179,58.704,24.299
37,184,58.596,24.335
38,189,58.481,24.358
39,194,58.379,24.396
40,199,58.259,24.397
41,204,58.218,24.454
42,209,58.051,24.411
43,214,57.937,24.420
44,219,57.825,24.423
45,224,57.738,24.471
46,229,57.617,24.456
47,234,57.503,24.485
48,239,57.389,24.504
49,244,57.269,24.501
50,249,57.163,24.501
51,254,57.051,24.506
52,259,56.905,24.492
53,264,56.780,24.478
54,269,56.683,24.553
55,274,56.556,24.558
56,279,56.447,24.562
57,284,56.362,24.556
58,289,56.208,24.544
59,294,56.099,24.538
60,299,56.013,24.535
61,304,55.872,24.511
62,309,55.769,24.507
63,314,55.649,24.511
64,319,55.554,24.529
65,324,55.434,24.540
66,329,55.327,24.557
67,334,55.218,24.535
68,339,55.108,24.531
69,344,55.002,24.551
70,349,54.892,24.568
71,354,54.775,24.583
72,359,54.684,24.616
73,364,54.555,24.609
74,369,54.454,24.609
75,374,54.340,24.602
76,379,54.233,24.575
77,384,54.109,24.585
78,389,53.985,24.559
79,394,53.862,24.555
80,399,53.747,24.572
81,404,53.627,24.583
82,409,53.504,24.597
83,414,53.414,24.606
84,419,53.286,24.613
85,424,53.153,24.607
86,429,53.030,24.609
87,434,52.926,24.609
88,439,52.802,24.625
89,444,52.689,24.595
90,449,52.642,24.621
91,454,52.459,24.610
92,459,52.349,24.590
93,464,52.233,24.598
94,469,52.143,24.594
95,474,51.997,24.572
96,479,51.928,24.563
97,484,51.807,24.550
98,489,51.723,24.556
99,494,51.631,24.555
100,499,51.536,24.568
101,504,51.426,24.552
102,509,51.311,24.512
103,514,51.205,24.456
104,519,51.091,24.419
105,524,50.942,24.400
106,529,50.895,24.352
107,534,50.795,24.320
108,539,50.702,24.318
109,544,50.536,24.238
110,549,50.430,24.213
111,554,50.341,24.199
112,559,50.250,24.152
113,564,50.162,24.113
114,569,50.048,24.099
115,574,49.967,24.077
116,579,49.874,24.055
117,584,49.782,24.040
118,589,49.684,24.048
119,594,49.583,24.018
120,599,49.486,23.997
121,604,49.391,23.950
122,609,49.300,23.916
123,614,49.227,23.857
124,619,49.111,23.854
125,624,49.015,23.831
126,629,48.910,23.797
127,634,48.807,23.751
128,639,48.695,23.706
129,644,48.624,23.744
130,649,48.529,23.765
131,654,48.436,23.760
132,659,48.346,23.753
133,664,48.277,23.703
134,669,48.176,23.672
135,674,48.077,23.682
136,679,47.985,23.661
137,684,47.910,23.650
138,689,47.789,23.636
139,694,47.706,23.616
140,699,47.615,23.594
141,704,47.524,23.632
142,709,47.432,23.635
143,714,47.322,23.645
144,719,47.258,23.617
145,724,47.170,23.604
146,729,47.077,23.607
147,734,47.001,23.586
148,739,46.892,23.568
149,744,46.799,23.590
150,749,46.705,23.616
151,754,46.623,23.604
152,759,46.546,23.621
153,764,46.450,23.613
154,769,46.378,23.603
155,774,46.282,23.578
156,779,46.185,23.549
157,784,46.112,23.552
158,789,46.035,23.559
159,794,45.961,23.570
160,799,45.845,23.541
161,804,45.768,23.563
162,809,45.731,23.593
163,814,45.613,23.577
164,819,45.536,23.606
165,824,45.420,23.549
166,829,45.338,23.570
167,834,45.251,23.606
168,839,45.212,23.649
169,844,45.102,23.674
170,849,45.037,23.710
171,854,44.945,23.712
172,859,44.848,23.741
173,864,44.774,23.763
174,869,44.706,23.798
175,874,44.626,23.830
176,879,44.555,23.867
177,884,44.480,23.885
178,889,44.414,23.897
179,894,44.345,23.907
180,899,44.267,23.905
181,904,44.172,23.898
182,909,44.156,23.922
183,914,44.069,23.946
184,919,43.994,23.977
185,924,43.921,23.994
186,929,43.855,24.003
187,934,43.712,23.961
188,939,43.643,23.970
189,944,43.632,24.046
190,949,43.559,24.049
191,954,43.490,24.066
192,959,43.369,24.000
193,964,43.303,23.997
194,969,43.248,24.013
195,974,43.176,24.044
196,979,43.122,24.041
197,984,43.068,24.066
198,989,42.996,24.048
199,994,42.927,24.038
200,999,42.883,24.057
201,1004,42.813,24.075
202,1009,42.755,24.087
203,1014,42.695,24.132
204,1019,42.636,24.122
205,1024,42.581,24.123
206,1029,42.538,24.117
207,1034,42.409,24.063
208,1039,42.346,24.088
209,1044,42.275,24.095
210,1049,42.216,24.113
211,1054,42.178,24.102
212,1059,42.095,24.103
213,1064,42.035,24.104
214,1069,41.986,24.098
215,1074,41.921,24.096
216,1079,41.870,24.103
217,1084,41.805,24.080
218,1089,41.718,24.083
219,1094,41.656,24.078
220,1099,41.620,24.091
221,1104,41.539,24.094
222,1109,41.470,24.091
223,1114,41.408,24.105
224,1119,41.359,24.117
225,1124,41.324,24.142
226,1129,41.330,24.207
227,1134,41.254,24.221
228,1139,41.214,24.241
229,1144,41.159,24.258
230,1149,41.086,24.279
231,1154,41.034,24.280
232,1159,40.988,24.298
233,1164,40.920,24.324
234,1169,40.891,24.335
235,1174,40.830,24.337
236,1179,40.776,24.347
237,1184,40.737,24.377
238,1189,40.703,24.389
239,1194,40.672,24.388
240,1199,40.611,24.374
241,1204,40.555,24.362
242,1209,40.496,24.374
243,1214,40.448,24.373
244,1219,40.379,24.382
245,1224,40.326,24.371
246,1229,40.264,24.396
247,1234,40.203,24.408
248,1239,40.154,24.425
249,1244,40.099,24.408
250,1249,40.106,24.475
251,1254,40.056,24.503
252,1259,39.982,24.518
253,1264,39.972,24.515
254,1269,39.857,24.497
255,1274,39.797,24.476
256,1279,39.745,24.480
257,1284,39.668,24.461
258,1289,39.619,24.433
259,1294,39.562,24.442
260,1299,39.500,24.460
261,1304,39.454,24.475
262,1309,39.427,24.510
263,1314,39.371,24.515
264,1319,39.305,24.535
265,1324,39.261,24.539
266,1329,39.203,24.543
267,1334,39.164,24.530
268,1339,39.090,24.517
269,1344,39.029,24.488
270,1349,38.952,24.444
271,1354,38.890,24.437
272,1359,38.829,24.441
273,1364,38.769,24.452
274,1369,38.685,24.403
275,1374,38.643,24.447
276,1379,38.631,24.459
277,1384,38.585,24.452
278,1389,38.527,24.417
279,1394,38.466,24.411
280,1399,38.424,24.386
281,1404,38.361,24.375
282,1409,38.298,24.341
283,1414,38.255,24.327
284,1419,38.215,24.313
285,1424,38.143,24.298
286,1429,38.112,24.298
287,1434,38.055,24.282
288,1439,38.008,24.260
289,1444,37.949,24.214
290,1449,37.904,24.199
291,1454,37.851,24.167
292,1459,37.795,24.149
293,1464,37.744,24.100
294,1469,37.695,24.072
295,1474,37.645,24.034
296,1479,37.606,24.039
297,1484,37.549,24.048
298,1489,37.499,24.077
299,1494,37.451,24.096
300,1499,37.413,24.043
301,1504,37.374,24.028
302,1509,37.333,24.053
303,1514,37.298,24.024
304,1519,37.254,23.978
305,1524,37.194,23.980
306,1529,37.159,23.952
307,1534,37.071,23.853
308,1539,37.020,23.821
309,1544,36.988,23.861
310,1549,36.950,23.859
311,1554,36.894,23.872
312,1559,36.862,23.898
313,1564,36.810,23.916
314,1569,36.765,23.933
315,1574,36.719,23.914
316,1579,36.686,23.923
317,1584,36.649,23.926
318,1589,36.613,23.952
319,1594,36.563,23.944
320,1599,36.530,23.975
321,1604,36.500,23.985
322,1609,36.443,23.999
323,1614,36.386,23.992
324,1619,36.327,23.983
325,1624,36.299,23.972
326,1629,36.236,23.959
327,1634,36.200,23.952
328,1639,36.117,23.915
329,1644,36.078,23.933
330,1649,36.040,23.940
331,1654,36.017,23.917
332,1659,35.975,23.905
333,1664,35.928,23.938
334,1669,35.906,23.906
335,1674,35.852,23.929
336,1679,35.841,23.945
337,1684,35.802,23.944
338,1689,35.745,23.933
339,1694,35.715,23.947
340,1699,35.687,23.948
341,1704,35.595,23.857
342,1709,35.515,23.860
343,1714,35.478,23.852
344,1719,35.462,23.866
345,1724,35.401,23.884
346,1729,35.374,23.901
347,1734,35.348,23.938
348,1739,35.291,23.967
349,1744,35.261,23.998
350,1749,35.221,23.978
351,1754,35.168,23.973
352,1759,35.126,23.957
353,1764,35.070,23.942
354,1769,35.017,23.952
355,1774,34.990,23.971
356,1779,34.949,23.979
357,1784,34.896,23.983
358,1789,34.861,24.017
359,1794,34.821,24.041
360,1799,34.771,24.063
361,1804,34.739,24.071
362,1809,34.692,24.100
363,1814,34.671,24.131
364,1819,34.643,24.136
365,1824,34.585,24.155
366,1829,34.540,24.178
367,1834,34.512,24.192
368,1839,34.468,24.211
369,1844,34.435,24.230
370,1849,34.382,24.237
371,1854,34.348,24.257
372,1859,34.304,24.270
373,1864,34.294,24.293
374,1869,34.257,24.318
375,1874,34.225,24.315
376,1879,34.219,24.275
377,1884,34.163,24.244
378,1889,34.130,24.201
379,1894,34.087,24.181
380,1899,34.048,24.136
381,1904,34.029,24.124
382,1909,34.027,24.097
383,1914,33.996,24.102
384,1919,33.957,24.091
385,1924,33.936,24.091
386,1929,33.920,24.064
387,1934,33.829,24.034
388,1939,33.815,24.063
389,1944,33.828,24.121
390,1949,33.790,24.113
391,1954,33.762,24.157
392,1959,33.660,24.064
393,1964,33.644,24.040
394,1969,33.591,24.044
395,1974,33.578,24.047
396,1979,33.546,24.049
397,1984,33.515,24.055
